Company_Name_cl,License_type_cl,Application_department_cl,Application_date_middle_code_cl,Application_date_cl,Award_date_cl,Expiry_date_cl,Commodity_cl,Area_acre_cl,Location_state_cl,License_location_cl,License_location_code_1_cl,License_location_code_2_cl
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,5/11,2011-11-16,2011-07-03,2014-07-02,Jade,1,Kachin State,Sha Yaung Kha,212,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,5/11,2011-11-16,2011-07-03,2014-07-02,Jade,1,Kachin State,Sha Yaung Kha,213,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2011-09-12,2014-09-11,Jade,1,Kachin State,La Gyaung,6,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,5/11,2011-11-16,2011-06-05,2016-06-04,Jade,1,Kachin State,Sha Yaung Kha,209,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,5/11,2011-11-16,2011-06-05,2016-06-04,Jade,1,Kachin State,Sha Yaung Kha,210,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,5/11,2011-11-16,2011-06-05,2016-06-04,Jade,1,Kachin State,Sha Yaung Kha,211,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2012-04-09,2017-04-08,Jade,1,Kachin State,Whay Khar,5,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2012-04-09,2017-04-08,Jade,1,Kachin State,Whay Khar,6,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2012-04-06,2017-04-05,Jade,1,Kachin State,Whay Khar,7,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2012-04-11,2017-04-10,Jade,1,Kachin State,Whay Khar,KaDoneYat,108
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2012-04-11,2017-04-10,Jade,1,Kachin State,Whay Khar,KaDoneYat,110
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2012-05-29,2017-05-28,Jade,1,Kachin State,Whay Khar,57,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2012-05-29,2017-05-28,Jade,1,Kachin State,Whay Khar,124,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2012-07-16,2017-07-15,Jade,1,Kachin State,Whay Khar,47,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2012-07-16,2017-07-15,Jade,1,Kachin State,Whay Khar,52,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2012-07-16,2017-07-15,Jade,1,Kachin State,Whay Khar,63,
AYEYAR YADANAR GEMS & JEWELLERY COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2012-07-16,2017-07-15,Jade,1,Kachin State,Whay Khar,SawBwarChaung,161
NATIONAL PROSPERITY GEMS COMPANY LIMITED,Sharing,Oo Si,1/08,2008-03-15,2008-04-30,2013-04-29,Jade,22,Kachin State,Mhaw Si Sar,7,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Sharing,Oo Si,1/10,2010-02-04,2010-04-08,2015-04-08,Jade,155,Kachin State,Gyan Khat,4,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Sharing,Oo Si,1/10,2010-02-04,2010-05-20,2015-05-19,Jade,65,Kachin State,Nant Gyan,4,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Sharing,Oo Si,1/10,2010-02-04,2010-05-20,2015-05-19,Jade,48,Kachin State,Mhaw Shan,Sa Pop,7
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Sharing,Oo Si,2/09,2009-08-02,2010-01-29,2015-01-28,Jade,17,Kachin State,Maw Maung,7,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Whay Khar,ChaungSone KhwayChaeYar SaiNwe,236
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/13,2013-02-15,2013-05-31,2016-05-30,Jade,1,Kachin State,Myauk Phyu,43,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/13,2013-02-15,2013-05-31,2016-05-30,Jade,1,Kachin State,Maw Maung,85,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/13,2013-02-15,2013-05-31,2016-05-30,Jade,1,Kachin State,Maw Maung,107,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/13,2013-02-15,2013-05-31,2018-05-30,Jade,1,Kachin State,Maw One Lay,110,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/13,2013-02-15,2013-05-31,2018-05-30,Jade,1,Kachin State,Maw One Lay,91,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/13,2013-02-15,2013-05-31,2018-05-30,Jade,1,Kachin State,Maw One Lay,92,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Whay Khar,Mhaw Thit Kone,346
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Whay Khar,Mhaw Thit Kone,347
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Whay Khar,Mhaw Thit Kone,348
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Whay Khar,Mhaw Thit Kone,396
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-09-14,2013-09-13,Jade,1,Kachin State,Maw Maung,127,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-09-14,2013-09-13,Jade,1,Kachin State,Maw Maung,126,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Maw Maung,243,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Maw Maung,244,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Maw Maung,111,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Maw Maung,110,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Mana,188,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Mana,211,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Mana,30,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Mana,31,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Mana,33,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Mana,40,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,1/10,2010-02-04,2010-03-31,2013-03-30,Jade,1,Kachin State,Maw One Lay,53,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,1/10,2010-02-04,2010-03-31,2013-03-30,Jade,1,Kachin State,Maw One Lay,57,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,1/09,2009-04-05,2010-03-14,2013-03-13,Jade,1,Kachin State,Sha Yaung Kha,320,
"SHWE WAH MYAY (MANDALAY)GEMS& CO.,LTD.",Private,Oo Si,3/10,2010-09-28,2010-08-09,2013-08-08,Jade,1,Kachin State,Maw One Lay,78,
YADANAR TAUNG TANN GEMS COMPANY LIMITED,Sharing,Oo Si,1/2000,2000-04-17,2012-08-21,2014-08-20,Jade,81.67,Kachin State,Mat Lin Chaung,2,
NAY LA PWINT GEMS COMPANY LIMITED,Sharing,Oo Si,3/08,2008-11-01,2009-03-09,2014-03-08,Jade,11,Kachin State,Mike Kyale,1,
NAY LA PWINT GEMS COMPANY LIMITED,Sharing,Oo Si,1/09,2009-04-05,2009-11-04,2014-11-03,Jade,47,Kachin State,Ba Zan Chaut,4,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,2/13,2013-01-18,2012-09-03,2015-09-02,Gems,1,Mandalay Division,Yay Oo Gyi,26,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,4/13,2013-05-16,2012-12-19,2015-12-18,Gems,1,Shan State,Sain Hlan,Pha -521,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,4/13,2013-05-16,2012-12-19,2015-12-18,Gems,1,Shan State,Sain Hlan,Pha -522,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,4/13,2013-05-16,2013-03-12,2016-03-11,Gems,1,Shan State,Sain Hlan,Sha -10,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,7/13,2013-10-25,2013-12-02,2016-12-01,Gems,1,Shan State,Sain Hlan Phaw Htoke, Pha -224,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,7/13,2013-10-25,2013-12-02,2016-12-01,Gems,1,Shan State,Sain Hlan Phaw Htoke, Pha -524,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,1/11,2011-05-14,2011-01-11,2014-01-10,Jade,1,Kachin State,Nant Mhaw,340,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,1/11,2011-05-14,2011-01-11,2014-01-10,Jade,1,Kachin State,Mhaw Si Sar,301,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,1/11,2011-05-14,2011-01-11,2014-01-10,Jade,1,Kachin State,Mhaw Si Sar,302,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,1/11,2011-05-14,2012-10-30,2015-10-29,Jade,1,Kachin State,Mhaw Si Sar,Admin,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,1/10,2010-02-04,2010-02-05,2013-02-04,Jade,1,Kachin State,Nant Mhaw,164,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,1/10,2010-02-04,2010-02-05,2013-02-04,Jade,1,Kachin State,Nant Mhaw,165,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,1/10,2010-02-04,2010-02-05,2013-02-04,Jade,1,Kachin State,Nant Mhaw,166,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,1/10,2010-02-04,2010-02-05,2013-02-04,Jade,1,Kachin State,Nant Mhaw,167,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,2/10,2010-05-17,2010-05-15,2013-05-14,Jade,1,Kachin State,Nant Mhaw,117,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,2/10,2010-05-17,2010-05-15,2013-05-14,Jade,1,Kachin State,Nant Mhaw,118,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,2/10,2010-05-17,2010-05-15,2013-05-14,Jade,1,Kachin State,Nant Mhaw,119,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,2/10,2010-05-17,2010-05-15,2013-05-14,Jade,1,Kachin State,Nant Mhaw,120,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,2/10,2010-05-17,2010-04-04,2013-04-03,Jade,1,Kachin State,Mhaw Si Sar,114,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,2/10,2010-05-17,2010-05-15,2013-05-14,Jade,1,Kachin State,Mhaw Si Sar,115,
NAY LA PWINT GEMS COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-09-03,2013-09-02,Jade,1,Kachin State,Nant Mhaw,375,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Sharing,Oo Si,2/09,2009-08-02,2009-09-08,2014-09-07,Jade,16,Kachin State,Ka Day,7,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Kyi Kyat,1/06,2006-01-06,2012-08-28,2015-08-27,Jade,1,Kachin State,Nant Mhaw,349,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Kyi Kyat,1/06,2006-01-06,2012-08-28,2015-08-27,Jade,1,Kachin State,Nant Mhaw,350,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2013-05-31,2016-05-30,Jade,1,Kachin State,Mhaw Si Sar,323,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2013-05-31,2016-05-30,Jade,1,Kachin State,Mhaw Si Sar,324,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2013-05-31,2016-05-30,Jade,1,Kachin State,Mhaw Si Sar,325,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,3/13,2013-02-15,2013-05-31,2018-05-30,Jade,1,Kachin State,Ka Yin Chaung,46,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,2/08,2008-03-15,2008-07-02,2013-07-01,Jade,1,Kachin State,Whay Khar,Mhaw Thit Kone,351
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-11-23,2013-11-22,Jade,1,Kachin State,Mhaw Taung,12,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-11-23,2013-11-22,Jade,1,Kachin State,Mhaw Taung,14,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-11-23,2013-11-22,Jade,1,Kachin State,Mhaw Taung,23,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-11-29,2013-11-28,Jade,1,Kachin State,Maw Maung,53,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-11-30,2013-11-29,Jade,1,Kachin State,Nant Mhaw,236,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-11-29,2013-11-28,Jade,1,Kachin State,Maw Maung,101,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-11-29,2013-11-28,Jade,1,Kachin State,Mike Kyale,38,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-11-29,2013-11-28,Jade,1,Kachin State,Mike Kyale,39,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,1/11,2011-05-14,2010-12-08,2013-12-07,Jade,1,Kachin State,Nant Mhaw,283,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,1/11,2011-05-14,2010-12-08,2013-12-07,Jade,1,Kachin State,Nant Mhaw,285,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,1/11,2011-05-14,2011-01-11,2014-01-10,Jade,1,Kachin State,Nant Mhaw,246,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,2/11,2011-06-19,2014-02-02,2014-02-01,Jade,1,Kachin State,Nant Mhaw,230,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,2/11,2011-06-19,2014-02-02,2014-02-01,Jade,1,Kachin State,Nant Mhaw,231,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,2/11,2011-06-19,2014-02-02,2014-02-01,Jade,1,Kachin State,Nant Mhaw,233,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,2/11,2011-06-19,2014-02-02,2014-02-01,Jade,1,Kachin State,Nant Mhaw,234,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,2/11,2011-06-19,2014-02-02,2014-02-01,Jade,1,Kachin State,Nant Mhaw,235,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,2/11,2011-06-19,2014-02-02,2014-02-01,Jade,1,Kachin State,Nant Mhaw,237,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,2/11,2011-06-19,2014-02-02,2014-02-01,Jade,1,Kachin State,Nant Mhaw,238,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,2/11,2011-06-19,2014-02-02,2014-02-01,Jade,1,Kachin State,Nant Mhaw,239,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,2/11,2011-06-19,2011-05-10,2014-05-09,Jade,1,Kachin State,Maw Maung,212,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,2/08,2008-03-15,2008-07-02,2013-07-01,Jade,1,Kachin State,Whay Khar,Mhaw Thit Kone,352
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,1/09,2009-09-05,2009-12-17,2014-12-16,Jade,1,Kachin State,Maw La Kin,84,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,1/09,2009-09-05,2009-12-17,2014-12-16,Jade,1,Kachin State,Maw La Kin,86,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,1/09,2009-09-05,2009-12-17,2014-12-16,Jade,1,Kachin State,Maw La Kin,90,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,1/09,2009-09-05,2010-01-19,2015-01-18,Jade,1,Kachin State,Maw La Kin,85,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,1/09,2009-09-05,2010-01-19,2015-01-18,Jade,1,Kachin State,Maw La Kin,87,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,1/09,2009-09-05,2010-01-19,2015-01-18,Jade,1,Kachin State,Maw La Kin,91,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,1/09,2009-09-05,2010-01-24,2013-01-23,Jade,1,Kachin State,Nant Mhaw,128,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,2/09,2009-08-02,2007-11-30,2012-11-19,Jade,1,Kachin State,Nant Mhaw,232,
TREASURE WHITE LOTUS GEMS COMPANY LIMITED,Private,Oo Si,1/09,2009-09-05,2010-01-15,2013-01-14,Jade,1,Kachin State,Nant Mhaw,123,
